0	639	639	33	0.0516432	0.0516432
1	1641	1641	1116	0.680073	0.680073
2	1309	1309	317	0.24217	0.24217
3	1162	1162	200	0.172117	0.172117
4	1390	1390	357	0.256835	0.256835
5	1568	1568	450	0.28699	0.28699
6	1599	1599	440	0.275172	0.275172
7	1433	686	440	0.307048	0.641399
8	1413	1413	440	0.311394	0.311394
9	1616	1616	605	0.374381	0.374381
10	1336	1336	872	0.652695	0.652695
11	1299	1299	411	0.316397	0.316397
12	1664	1664	440	0.264423	0.264423
13	1611	362	182	0.112973	0.502762
14	1645	100	0	0	0
15	1410	1410	228	0.161702	0.161702
16	920	920	440	0.478261	0.478261
17	1562	1562	1038	0.664533	0.664533
18	1581	1581	1221	0.772296	0.772296
19	1576	1576	554	0.351523	0.351523
20	1259	0	0	0	0
21	1322	1322	624	0.472012	0.472012
22	849	849	388	0.457008	0.457008
23	1281	1281	420	0.327869	0.327869
24	1098	1098	443	0.403461	0.403461
25	1192	1192	478	0.401007	0.401007
26	715	715	220	0.307692	0.307692
27	1058	1058	60	0.0567108	0.0567108
28	972	357	0	0	0
29	892	892	220	0.246637	0.246637
30	1929	1929	440	0.228097	0.228097
31	1135	317	137	0.120705	0.432177
32	1284	1284	702	0.546729	0.546729
33	1006	1006	156	0.15507	0.15507
34	1283	1283	1118	0.871395	0.871395
35	970	970	313	0.32268	0.32268
36	929	655	220	0.236814	0.335878
37	2047	2047	660	0.322423	0.322423
38	825	788	468	0.567273	0.593909
39	892	825	420	0.470852	0.509091
40	1144	1144	498	0.435315	0.435315
41	620	620	321	0.517742	0.517742
42	1340	1340	220	0.164179	0.164179
43	916	916	976	1.0655	1.0655
44	1013	1013	660	0.65153	0.65153
45	462	0	0	0	0
46	1507	1507	1041	0.690776	0.690776
47	611	611	624	1.02128	1.02128
48	859	859	22	0.0256112	0.0256112
49	1240	1240	660	0.532258	0.532258
50	951	951	880	0.925342	0.925342
51	1430	1430	479	0.334965	0.334965
52	1092	1092	406	0.371795	0.371795
53	1121	1121	370	0.330062	0.330062
54	1400	1400	368	0.262857	0.262857
55	1127	1127	440	0.390417	0.390417
56	1189	1189	540	0.454163	0.454163
