0	639	639	426	0.666667	0.666667
1	1641	1641	3378	2.0585	2.0585
2	1309	1309	1386	1.05882	1.05882
3	1162	1162	750	0.645439	0.645439
4	1390	1093	1540	1.10791	1.40897
5	1568	0	0	0	0
6	1599	1599	860	0.537836	0.537836
7	1433	686	0	0	0
8	1413	1413	593	0.419674	0.419674
9	1616	1616	2467	1.52661	1.52661
10	1336	1336	1048	0.784431	0.784431
11	1299	1299	660	0.508083	0.508083
12	1664	1664	1300	0.78125	0.78125
13	1611	1362	220	0.136561	0.161527
14	1645	1645	1180	0.717325	0.717325
15	1410	1410	640	0.453901	0.453901
16	920	920	660	0.717391	0.717391
17	1562	1562	1374	0.879641	0.879641
18	1581	1581	440	0.278305	0.278305
19	1576	1576	334	0.211929	0.211929
20	1259	1259	710	0.56394	0.56394
21	1322	1322	2926	2.21331	2.21331
22	849	849	220	0.259128	0.259128
23	1281	1281	654	0.510539	0.510539
24	1098	1098	1615	1.47086	1.47086
25	1192	1192	220	0.184564	0.184564
26	715	715	515	0.72028	0.72028
27	1058	1058	440	0.415879	0.415879
28	972	972	220	0.226337	0.226337
29	892	533	440	0.493274	0.825516
30	1929	1671	811	0.420425	0.485338
31	1135	1135	440	0.387665	0.387665
32	1284	1284	440	0.342679	0.342679
33	1006	1006	660	0.656064	0.656064
34	1283	1283	2827	2.20343	2.20343
35	970	970	1616	1.66598	1.66598
36	929	929	435	0.468245	0.468245
37	2047	0	0	0	0
38	825	825	440	0.533333	0.533333
39	892	892	305	0.341928	0.341928
40	1144	1144	2420	2.11538	2.11538
41	620	620	559	0.901613	0.901613
42	1340	1340	555	0.414179	0.414179
43	916	916	772	0.842795	0.842795
44	1013	1013	666	0.657453	0.657453
45	462	462	440	0.952381	0.952381
46	1507	1121	860	0.57067	0.767172
47	611	611	884	1.44681	1.44681
48	859	859	537	0.625146	0.625146
49	1240	684	84	0.0677419	0.122807
50	951	951	565	0.594111	0.594111
51	1430	1430	1709	1.1951	1.1951
52	1092	1092	2180	1.99634	1.99634
53	1121	1121	660	0.58876	0.58876
54	1400	1400	780	0.557143	0.557143
55	1127	1127	547	0.485359	0.485359
56	1189	1189	840	0.706476	0.706476
